	    1	    2	    3	    4	    5	    6	    7	    8	    9	    10
	  0.00	 76.61	 72.54	 74.46	 73.96	 74.59	 73.80	 73.84	 73.74	 74.06		6 1
		  0.00	 77.56	 74.54	 76.60	 74.65	 74.25	 74.26	 74.94	 76.21		2 2
			  0.00	 75.30	 75.12	 75.37	 75.55	 75.56	 75.46	 75.33		5 3
				  0.00	 73.77	  0.55	 70.69	 70.72	 71.57	 74.74		4 4
					  0.00	 73.90	 74.30	 74.32	 74.43	 71.48		3 5
						  0.00	 70.78	 70.81	 71.68	 74.85		11 6
							  0.00	  0.07	 71.89	 74.81		9 7
								  0.00	 71.93	 74.83		8 8
									  0.00	 74.44		7 9
										  0.00		12 10
